Image File	Classification	grayMin	grayMax	grayMedian	grayMean	gnMin	gnMax	gnMedian	gnMean	blueMin	blueMax	blueMedian	blueMean	greenMin	greenMax	greenMedian	greenMean	redMin	redMax	redMedian	redMean	FFT	nFFT	NumKeyPoints	MedianKPSize	MeanKPSize	KPsOver0	KPsOver10	KPsOver20	KPsOver30	KPsOver40	KPsOver50	KPsOver60	KPsOver70	KPsOver80	KPsOver90	KPsOver100	KPsOver110	KPsOver120	KPsOver130	KPsOver140	Lapl1	Lapl3	Lapl5	Lapl7	Lapl9	Lapl11	Lapl13	Lapl15	Lapl17	Lapl19	Lapl21	Lapl23	Lapl25	Lapl27	Lapl29	Can1.0	Can1.10	Can1.20	Can1.30	Can1.40	Can1.50	Can1.60	Can1.70	Can1.80	Can1.90	Can1.100	Can1.110	Can1.120	Can1.130	Can1.140	Can1.150	Can1.160	Can1.170	Can1.180	Can1.190	Can1.200	Can1.210	Can1.220	Can1.230	Can1.240	Contours0	ClosedCont0	OpenCont0	ContArea0	LargestCont0	Perimeter0	MaxLL0	MeanLL0	MedianLL0	ModeLL0	Contours50	ClosedCont50	OpenCont50	ContArea50	LargestCont50	Perimeter50	MaxLL50	MeanLL50	MedianLL50	ModeLL50	Contours100	ClosedCont100	OpenCont100	ContArea100	LargestCont100	Perimeter100	MaxLL100	MeanLL100	MedianLL100	ModeLL100	Contours150	ClosedCont150	OpenCont150	ContArea150	LargestCont150	Perimeter150	MaxLL150	MeanLL150	MedianLL150	ModeLL150	Contours200	ClosedCont200	OpenCont200	ContArea200	LargestCont200	Perimeter200	MaxLL200	MeanLL200	MedianLL200	ModeLL200	
f000/wlh1_000031.jpg	Carbonate sand	44	225	134.0	131.592269359	0	255	131.0	129.643421846	46	255	156.0	152.38170525	52	255	157.0	153.486969353	26	255	81.0	80.725817153	185928042.342	207335891.109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84752	374430	655549	694159	696798	696591	696019	695335	422875	59517	4720	500	117	19	0	82418805	79863195	75978780	72732630	70128315	67972800	65474820	63066600	60434235	58137195	55755750	53618085	51278715	49102545	46834575	44587515	42524565	40499865	38128620	36192150	34026690	31893615	29963010	28232580	26651835	28130	2015	26115	123636.5	1525.0	529283.397782	21.4709105536	7.11438055766	7.07106781187	7	15160	1266	13894	114317.5	1525.0	452486.892771	21.4709105536	7.11438055766	7.07106781187	7	8119	648	7471	102160.0	1525.0	381364.835915	21.4709105536	7.11438055766	7.07106781187	7	4579	321	4258	87769.5	1525.0	309836.493594	21.4709105536	7.11438055766	7.07106781187	7	2823	186	2637	71579.5	1525.0	237824.125681	21.4709105536	7.11438055766	7.07106781187	7	
f000/wlh1_000004.jpg	Carbonate sand	40	212	137.0	130.754221479	0	255	133.0	130.120674403	37	189	138.0	129.842980239	47	229	166.0	157.269043687	25	255	81.0	79.1562952378	184951463.088	208503067.494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66084	303129	645072	698116	699235	696757	694470	692330	538801	95307	6762	457	25	3	0	93444240	89575380	82480005	76059360	70775505	66778635	63339705	60017310	57172020	54312960	51640560	49306035	46776435	44453130	42247890	39849615	37384020	35361105	32491335	30462810	27518070	24994335	23281500	21283575	18427575	31424	2807	28617	162259.5	1288.0	613639.838275	17.0293863659	6.85392871837	6.7082039325	7	13045	1670	11375	142119.0	1288.0	458981.748493	17.0293863659	6.85392871837	6.7082039325	7	6511	1046	5465	125252.0	1288.0	364611.420415	17.0293863659	6.85392871837	6.7082039325	7	3650	679	2971	107235.0	1288.0	285446.448466	17.0293863659	6.85392871837	6.7082039325	7	2078	411	1667	77196.5	1288.0	197862.403254	17.0293863659	6.85392871837	6.7082039325	7	
f000/wlh1_000034.jpg	Carbonate sand	72	210	137.0	137.481175322	0	255	132.0	130.90158476	85	255	161.0	161.006243537	84	246	161.0	161.247784783	43	255	82.0	81.9104011087	192090453.954	208554614.084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147696	465196	672617	690562	690738	689732	688966	688123	346305	29826	2140	137	7	0	0	87762585	87038130	86069640	84828045	83337315	81724950	80055210	78356655	76393665	74404155	72390165	70323135	68382330	66258180	64329105	61592445	59598345	57717975	55473210	53019600	50846235	48241665	45705180	43905390	41668020	26723	2161	24562	139799.0	1058.5	572023.917249	20.5182845287	7.18235364175	7.07106781187	7	19076	1787	17289	136547.5	1058.5	544970.031674	20.5182845287	7.18235364175	7.07106781187	7	11784	1158	10626	128520.5	1058.5	495012.309626	20.5182845287	7.18235364175	7.07106781187	7	7276	712	6564	114913.5	1058.5	428098.4339	20.5182845287	7.18235364175	7.07106781187	7	4762	504	4258	99567.0	1058.5	356875.824559	20.5182845287	7.18235364175	7.07106781187	7	
f000/wlh1_000008.jpg	Carbonate sand	39	207	155.0	142.55987118	0	255	130.0	129.328733197	42	234	179.0	164.195741182	45	242	183.0	167.884339815	20	255	91.0	84.6102524701	203963485.422	207586277.249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40836	286986	650051	695817	696901	694862	692894	691139	551508	80754	5764	409	28	2	0	90125670	87452505	82544265	76928145	71776380	66523635	61755135	57351540	53698155	50455065	47285925	43882185	40538115	37678035	34630785	30966180	28123950	25661925	23202195	20291115	17290530	15507315	13374240	11762895	10466730	29990	2415	27575	135576.5	1416.5	588792.974155	28.2842712475	6.90160895468	6.7082039325	5	12502	1407	11095	119047.5	1416.5	454889.418996	28.2842712475	6.90160895468	6.7082039325	5	5586	718	4868	97802.5	1416.5	331728.58443	28.2842712475	6.90160895468	6.7082039325	5	2691	370	2321	69073.0	1416.5	219523.843367	28.2842712475	6.90160895468	6.7082039325	5	1302	153	1149	39380.5	793.0	121983.985335	28.2842712475	6.90160895468	6.7082039325	5	
f000/wlh1_000037.jpg	Carbonate sand	57	222	136.0	135.670815861	0	255	132.0	130.727182904	61	255	157.0	156.649200798	65	239	159.0	159.08896987	30	255	82.0	81.7048749138	189694119.544	208105514.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194195	499374	677664	692437	692751	692257	691816	691414	285628	24592	1858	183	7	1	0	85355640	84751035	83878680	82833435	81707355	80589945	79309335	77999400	76659630	75342555	74030325	72627825	71181975	69752700	68118150	66623085	64979355	63336645	61810980	60262110	58808355	57339300	55727955	53989110	52517250	25307	1964	23343	159115.5	781.5	548509.101128	26.8700576851	7.31104365407	7.07106781187	7	19026	1670	17356	156600.5	781.5	527946.259937	26.8700576851	7.31104365407	7.07106781187	7	12666	1170	11496	151620.5	781.5	495800.337997	26.8700576851	7.31104365407	7.07106781187	7	8389	750	7639	142315.0	781.5	453240.585106	26.8700576851	7.31104365407	7.07106781187	7	5795	505	5290	131728.5	781.5	403885.307292	26.8700576851	7.31104365407	7.07106781187	7	
f000/wlh1_000041.jpg	Carbonate sand	65	219	134.0	134.36399572	0	255	130.0	130.182580566	77	255	154.0	155.01044491	75	253	157.0	157.383193072	34	255	81.0	81.3168528837	188130020.88	207271512.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187060	495360	672810	688545	689904	689350	689067	688755	284957	25326	1858	131	8	0	0	85312290	84615375	83799375	82835220	81749685	80636610	79295310	77771685	76315125	74631105	72904245	71229150	69642795	67833060	66186015	64433910	63046200	61282875	59681475	57983430	56301450	54724785	53241960	51428400	49761210	25226	1858	23368	168361.0	2230.0	553368.094009	19.7989898732	7.22398683201	7.07106781187	7	18939	1556	17383	165641.5	2230.0	533367.033682	19.7989898732	7.22398683201	7.07106781187	7	12212	1009	11203	158583.0	2230.0	493444.81132	19.7989898732	7.22398683201	7.07106781187	7	7960	671	7289	148374.5	2230.0	443080.083903	19.7989898732	7.22398683201	7.07106781187	7	5542	466	5076	135954.0	2230.0	390754.569367	19.7989898732	7.22398683201	7.07106781187	7	
f000/wlh1_000013.jpg	Carbonate sand	59	216	135.0	134.658684226	0	255	132.0	130.73589298	61	217	159.0	157.475404986	69	216	159.0	158.006089154	36	255	79.0	80.1718340705	188288051.149	208596623.463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109880	421606	665507	689098	688574	686305	684203	682715	415195	44879	3414	431	150	61	10	91251240	90072375	88491120	86733150	84728085	82436145	79806585	77185695	74674710	72218295	69488010	66781695	63884385	61273185	58256535	55347495	51836910	48728970	46272555	43184505	40639860	37778505	35078820	32129490	30199140	27768	2449	25319	156208.5	670.0	598188.190039	21.2132034356	6.99353982777	7.07106781187	7	17812	1906	15906	149841.5	670.0	556402.979859	21.2132034356	6.99353982777	7.07106781187	7	10041	1169	8872	136084.0	670.0	481574.504275	21.2132034356	6.99353982777	7.07106781187	7	5822	710	5112	115843.0	670.0	389369.936866	21.2132034356	6.99353982777	7.07106781187	7	3478	446	3032	91359.5	670.0	287580.471608	21.2132034356	6.99353982777	7.07106781187	7	
f000/wlh1_000016.jpg	Carbonate sand	37	225	139.0	133.839993107	0	255	130.0	128.750785558	41	255	160.0	153.379488597	42	255	163.0	156.449225931	23	255	83.0	82.037606273	193259522.394	206465482.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18051	216998	620503	682475	686670	686435	686102	685665	571302	97674	6717	408	26	2	0	84798465	81063990	73556025	65966970	59446620	53859825	49351425	44742555	39702735	35458515	31990770	28276695	24984135	22526700	19569465	17642940	15605235	13704210	12223935	10990755	10048785	9025470	8207685	7301160	6503775	30762	2066	28696	94247.5	554.5	548360.103342	22.825424421	7.09844909185	7.07106781187	7	9671	771	8900	72901.5	554.5	368574.714121	22.825424421	7.09844909185	7.07106781187	7	3522	250	3272	47711.5	554.5	223886.830223	22.825424421	7.09844909185	7.07106781187	7	1473	97	1376	26332.5	523.5	123911.306431	22.825424421	7.09844909185	7.07106781187	7	665	39	626	14775.0	523.5	70742.0517805	22.825424421	7.09844909185	7.07106781187	7	
f000/wlh1_000045.jpg	Carbonate sand	59	206	135.0	134.993618595	0	255	132.0	130.33927002	61	236	158.0	157.006463264	69	237	159.0	158.273504998	36	255	81.0	80.9303775563	189072281.069	207752062.258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159918	461587	673458	695342	696581	695989	695405	694943	328105	34899	2274	162	9	1	0	83335530	82125555	80922210	79481715	77959875	76111125	74414100	72604620	70681920	68851785	66815355	64997970	63379485	61595760	60125685	58419480	56835930	55190160	53232270	52031730	50143710	48489270	46802190	44926155	43554255	26134	1914	24220	144356.0	683.5	537576.189173	22.627416998	7.18494903123	7.07106781187	7	18265	1512	16753	139626.5	683.5	502382.780745	22.627416998	7.18494903123	7.07106781187	7	11231	974	10257	131175.0	683.5	452113.073866	22.627416998	7.18494903123	7.07106781187	7	7152	578	6574	122131.0	683.5	401983.914108	22.627416998	7.18494903123	7.07106781187	7	4840	375	4465	110658.5	683.5	348235.405499	22.627416998	7.18494903123	7.07106781187	7	
f000/wlh1_000019.jpg	Carbonate sand	36	225	157.0	145.933963551	0	255	130.0	128.898716826	40	255	181.0	168.628140079	42	255	184.0	170.723876235	23	255	94.0	88.6382891487	209446243.817	206804553.988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38272	273613	631728	685026	687702	686639	685727	684808	513929	87333	5848	348	23	1	0	84055140	80853360	73548885	66652155	61199745	56573790	53079525	49579395	46631340	43728165	41029245	38669475	36184755	33995070	31934670	29800575	27710340	25044060	23086935	21452385	19801260	17845920	16357485	15056985	13967880	30416	2090	28326	112138.0	854.5	540437.84728	16.1245154966	6.9988622295	7.07106781187	7	11552	993	10559	93954.0	854.5	380701.663482	16.1245154966	6.9988622295	7.07106781187	7	5092	437	4655	78223.0	854.5	283568.23666	16.1245154966	6.9988622295	7.07106781187	7	2626	216	2410	61834.0	854.5	208615.922239	16.1245154966	6.9988622295	7.07106781187	7	1456	118	1338	45011.5	533.5	138948.687574	16.1245154966	6.9988622295	7.07106781187	7	
